"fips5","resid"
1001,-0.0210743064673989
1003,-0.130033680700807
1005,0.06054128641855
1007,0.0551706273040343
1009,-0.0176573319186959
1011,0.0298299072817948
1013,0.00659701886496483
1015,-0.00453603499333899
1017,0.0572216108378503
1019,0.0404911623554626
1021,0.0249627121861357
1023,0.131267292557241
1025,0.0560002255059166
1027,0.0684445011453058
1029,0.0367356890439321
1031,-0.13836578000021
1033,0.115080491213123
1035,0.161656097898831
1037,0.0374340487958663
1039,-0.0260963547495685
1041,0.0482232878314733
1043,0.00277820047027366
1045,-0.0938514815107364
1047,0.000739668785709025
1049,-0.00240366168295547
1051,-0.114802825924974
1053,-0.0769046252251956
1055,0.00938275490437579
1057,-0.00793204927331725
1059,0.0800134263332121
1061,-0.0776253169784573
1063,-0.0303445955141148
1065,0.0755754280765348
1067,-0.0578758621028438
1069,-0.157839338534228
1071,0.0854792983585144
1073,0.00328028931256039
1075,0.04128876994442
1077,0.0378239514822949
1079,0.0782326070704303
1081,-0.137157308412838
1083,0.0113430637265528
1085,-0.0431640596466442
1087,-0.138426389124754
1089,-0.0650888269984886
1091,0.0781984826995947
1093,0.100556287724527
1095,-0.0197339556929185
1097,0.0219778576383821
1099,0.0558608160454368
1101,-0.0870642684408028
1103,-0.0758318634551359
1105,0.056441155577327
1107,0.121912167974762
1109,-0.143600812067081
1111,-0.0315765151347948
1113,0.115087428959849
1115,-0.0337877069621237
1117,-0.182150452193071
1119,-0.0706137691707089
1121,0.0358075170099752
1123,-0.0309175917945113
1125,-0.0235731838541869
1127,0.0569333807089075
1129,0.0866367845677529
1131,-0.0162728619702715
1133,-0.0287024861161439
4001,0.128880672006413
4003,-0.0871360455607071
4005,0.205465966216385
4007,-0.0752259721002062
4009,-0.0276712720420592
4011,0.0569514892754631
4012,-0.0883248925932426
4013,-0.0441528042513428
4015,-0.141804423849182
4017,0.0550320294114372
4019,0.0565984105087044
4021,-0.00304787050137381
4023,0.0662431908869598
4025,-0.0772995084343442
4027,-0.0245089689728833
5001,0.0101174794027672
5003,-0.043741163376436
5005,-0.00511348952877622
5007,-0.0322366726011628
5009,0.047784907828788
5011,-0.00305224726433062
5013,-0.020614217310607
5015,0.0989688479809918
5017,0.0288673724289071
5019,0.106031951070012
5021,0.102323085981142
5023,-0.0724317237550206
5025,-0.00927985509776408
5027,-0.185688196608367
5029,0.0844852934213584
5031,-0.066304873784629
5033,-0.0200608872909184
5035,-0.0412522569321704
5037,-0.0253753388744072
5039,-0.0534843675281912
5041,0.0193792603207965
5043,-0.0470850304514222
5045,-0.0538818058714173
